State,Primary_Democratic,Primary_Republican,Primary_Other,General_Democratic,General_Republican,General_Other
~
~ -----------------------------------------------------
~ From: http://www.fec.gov/pubrec/electionresults.shtml
~ -----------------------------------------------------
~
AL,"89,327","296,918",,"331,764","704,533","44,583"
AK,"106,867","47,867","13,437","114,602","142,572","22,567"
AS,,,,"5,328","4,306",612
AZ,"256,830","467,538",387,"577,947","817,178","72,492"
AR,,"88,688",,"254,774","509,631","66,247"
CA,"2,277,658","1,731,356","142,461","4,067,737","2,950,679","114,005"
CO,"203,454","353,237",127,"936,417","1,000,197","63,911"
CT,,,,"596,390","409,513","61,954"
DE,,,,"137,251","85,146","9,220"
DC,"89,899","1,259",437,"143,923","11,673","16,297"
FL,"163,961","342,452",,"2,130,626","2,713,451","154,478"
GA,"268,014","649,472",,"956,361","1,349,076",228
GU,"7,938","6,873",,"20,693","14,956",113
HI,"210,607","37,599",566,"235,400","120,084","4,693"
ID,"25,575","150,436",,"160,078","275,072",7
IL,"424,718","677,940",273,"1,822,779","1,721,865","23,358"
IN,"171,967","352,619",,"502,104","793,759","44,951"
IA,"64,276","147,261",,"509,189","595,865","15,280"
KS,"62,960","255,345",,"311,530","540,756","9,791"
KY,"271,313",,,"508,151","887,157","2,318"
LA,,,,"551,663","1,157,474","131,266"
ME,"58,972","51,784",,"305,230","228,059","59,057"
MD,"451,194","187,424",,"978,267","704,400","20,370"
MA,"451,056","60,761",,"1,475,442","308,598","29,776"
MI,"512,540","633,734",,"1,519,030","1,466,749","103,698"
MN,"45,036","68,536",928,"985,760","913,539","64,240"
MS,"95,094","256,871",,"230,014","329,169","67,096"
MO,"312,493","508,482","6,027","513,600","838,283","74,420"
MT,"71,168","131,623",,"148,690","203,871","15,402"
NE,"63,607","215,348","7,678","185,234","340,816","9,480"
NV,"71,485","35,519",,"210,147","28,053","304,809"
NH,"38,852","115,170",,"247,469","232,379","1,072"
NJ,"229,197","156,498",,"1,006,958","940,992","34,690"
NM,"108,800","60,642",,"271,222","240,542",121
NY,"94,518","94,630","2,459","1,788,105","1,257,412","606,190"
NC,"338,211","369,030",,"1,361,695","1,596,942","18,607"
ND,"30,154","50,339","1,555","95,678","138,100","14,892"
MP,,,,"8,549",,"4,547"
OH,"363,214","543,274","1,119","1,179,587","1,770,923","49,651"
OK,"129,436","235,094",,"174,022","457,613","21,778"
OR,"271,317","237,282",,"778,139","582,909","89,654"
PA,"646,868","430,059",,"1,467,594","1,833,205","28,404"
PR,,,,,,
RI,"105,331","23,156",,"192,776","122,721",760
SC,"63,382","69,137",,"377,025","734,456","44,301"
SD,,,,"92,485","183,834",
TN,"243,116","641,341",,"448,421","848,846","73,894"
TX,"419,810","1,259,181",,"1,474,016","2,684,592","294,891"
UT,,,,"183,491","351,034","31,445"
VT,"19,472","12,888",238,"123,349","59,432","8,723"
VI,"9,756",,,"21,224","1,964",224
VA,"38,866","96,301",,"937,175","1,292,588","146,881"
WA,"581,029","535,678","71,549","1,047,747","981,853",
WV,"126,414","77,162",,"182,484","242,823","14,081"
WI,"272,108","254,324",87,"1,102,581","1,233,336","19,663"
WY,"14,399","93,443",,"37,803","113,038","14,259"
Total:,"10,972,259","13,111,571","249,328","36,025,716","40,068,014","3,125,447"
,,,,,,
,,,,,,
Notes on Charts,,,,,,
,,,,,,
"*  Runoff election vote totals have been included with the primary election totals.  (For the U.S. Senate, runoff elections were held in Georgia, Mississippi, Oklahoma (Unexpired Term), and Texas.  For the U.S. House of Representatives, runoff elections were held in Alabama, Georgia, Mississippi, North Carolina, Oklahoma, and Texas.)  For Louisiana, the December election vote totals have been included with the general election totals.",,,,,,
,,,,,,
"*  The votes for both full and unexpired terms are included in the totals.  This applies to Hawaii (Senate), Oklahoma (Senate), South Carolina (Senate), New Jersey (NJ/01), North Carolina (NC/12), and Virginia (VA/07).",,,,,,
,,,,,,
The following three situations account for blank spaces in the charts and should be considered when making comparisons or drawing conclusions about the vote totals.,,,,,,
,,,,,,
"*  In some states, i.e., Connecticut, Utah and Virginia, political parties may nominate general election candidates by party convention, rather than by primary election.",,,,,,
,,,,,,
"*  In some states, there were unopposed candidates whose names did not appear on a ballot and therefore received no votes.",,,,,,
,,,,,,
    *  33 states had regularly scheduled U.S. Senate elections in 2014.,,,,,,
