State,Primary_Democratic,Primary_Republican,Primary_Other,General_Democratic,General_Republican,General_Other
~
~ -----------------------------------------------------
~ From: http://www.fec.gov/pubrec/electionresults.shtml
~ -----------------------------------------------------
~
AL,"154,018",,,"502,046","627,501","10,605"
AK,"40,573","81,089","7,483","93,879","132,743","8,023"
AS,,,,"5,195","4,493","1,345"
AZ,"202,430","294,125","2,369","627,259","771,246","94,645"
AR,,"16,118",,"456,569","306,442",
CA,"2,265,008","1,625,917","18,852","4,720,164","3,314,398","261,254"
CO,"146,175","196,749",,"832,888","623,784","82,236"
CT,,"3,146",,"642,859","419,895","11,985"
DE,"15,768",,,"97,565","143,897","10,232"
DC,"102,787",616,230,"111,726",,"3,051"
FL,"235,726","156,580",,"1,599,968","2,182,833","69,141"
GA,"464,830","354,204",,"932,143","1,138,048",116
GU,"20,463",246,,"32,677",,"1,201"
HI,"215,971","26,478",101,"219,810","118,134",
ID,"27,856","132,487",,"177,376","248,105","19,825"
IL,"881,101","632,834",12,"1,987,114","1,442,969","23,625"
IN,"327,991","403,901",,"812,496","831,785","22,641"
IA,"97,389","76,492",,"492,937","522,388","18,363"
KS,"70,831","181,441",,"369,191","459,267","16,669"
KY,"296,937",,,"601,723","611,780","40,023"
LA,,,,"357,926","579,702","27,034"
ME,"50,043","52,311",,"350,681","163,155","22,029"
MD,"546,060","164,626",,"1,099,441","546,862","54,899"
MA,"724,654","26,890",,"1,632,307","198,550","92,800"
MI,"483,226","549,145",,"1,923,485","1,624,865","100,152"
MN,"198,518","87,441","1,086","1,152,621","924,636","101,717"
MS,"117,069",,,"260,330","304,308","36,059"
MO,"302,704","299,715","1,679","992,258","1,049,346","55,718"
MT,"93,354","91,836",,"158,916","239,124","8,094"
NE,"77,248","248,212","4,042","261,910","334,177",
NV,"71,340","89,707",,"287,879","260,317","26,631"
NH,"41,428","47,676",,"209,434","189,615","3,620"
NJ,"184,277","144,780",,"1,207,784","903,176","25,882"
NM,"104,859","54,775",,"313,124","247,825",135
NY,"177,644","19,334","1,477","2,448,964","1,120,966","565,448"
NC,"127,285","43,828",,"1,026,915","913,893",
ND,"57,316","40,172",,"142,934","74,687",
OH,"728,741","749,787",,"2,081,737","1,870,390","9,068"
OK,"84,374","150,474",,"372,888","518,025","14,281"
OR,"297,429","222,108",,"765,853","557,491","34,090"
PA,"628,427","562,592",,"2,229,091","1,732,163","52,134"
RI,"78,533","17,924",,"265,028","41,856","66,498"
SC,"47,775",,,"461,600","599,615","24,991"
SD,,,,"230,468","97,864","5,230"
TN,"396,575","399,390",,"860,861","799,547","55,018"
TX,"462,691","577,803",,"1,890,869","2,111,137","248,168"
UT,,"59,024",,"244,483","292,235","32,972"
VT,"35,739","36,742",234,"139,815","117,023","5,888"
VI,,,,"19,593",,"11,212"
VA,"19,649","4,409",,"947,103","1,222,790","127,343"
WA,"577,652","416,592",,"1,244,095","798,005","11,956"
WV,"158,143","65,732",,"263,822","190,893",98
WI,"287,691","230,791",357,"1,003,156","1,040,071","20,186"
WY,"25,914","83,291",,"92,324","93,336","7,709"
